Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
13.42,46.96,4.0028,24.43,24.5,4.1476
13.46,46.91,4.0028,24.36,24.5,4.1492
13.51,47.06,3.9821,24.59,24.5,4.1476
13.55,47.03,3.998,24.43,24.5,4.1492
13.6,46.98,4.0059,24.43,24.5,4.1492
13.64,47.01,4.0012,24.67,24.5,4.1445
13.68,46.98,4.0043,24.91,24.5,4.1461
13.72,47.06,3.9964,24.43,24.6,4.1508
13.76,47.01,4.0012,24.59,24.6,4.1492
13.81,46.98,3.998,24.83,24.6,4.1476
13.85,47.06,4.0043,24.67,24.6,4.1476
13.9,47.03,3.9789,24.28,24.6,4.1492
13.94,46.98,3.998,24.91,24.6,4.1461
13.98,47.01,4.0043,24.43,24.6,4.1445
14.02,46.98,3.9964,24.59,24.6,4.1508
14.06,47.01,4.0059,24.91,24.6,4.1461
14.11,47.01,4.0043,24.67,24.6,4.1429
14.15,47.03,4.0043,24.67,24.6,4.1445
14.19,46.98,4.0075,24.67,24.6,4.1461
14.23,47.03,4.0012,24.83,24.6,4.1492
14.28,47.01,4.0059,24.83,24.6,4.1461
14.32,47.03,3.9821,24.91,24.6,4.1476
14.36,47.01,4.0043,24.75,24.6,4.1476
14.41,47.03,4.0043,24.83,24.6,4.1461
14.45,46.98,4.0059,24.83,24.6,4.1476
14.49,46.98,4.0059,24.83,24.6,4.1476
14.53,47.01,4.0012,24.83,24.6,4.1445
14.57,47.08,4.0028,24.83,24.6,4.1461
14.62,46.94,4.0028,24.36,24.6,4.1461
14.66,47.01,3.998,24.91,24.6,4.1445
14.71,47.03,3.9836,24.83,24.6,4.1445
14.75,47.03,3.9996,25.07,24.6,4.1445
14.79,46.98,4.0043,24.83,24.6,4.1476
14.83,46.98,3.9996,24.83,24.6,4.1508
14.87,46.98,3.9964,24.75,24.6,4.1492
14.92,47.01,3.9996,24.91,24.6,4.1492
14.96,46.98,3.998,24.91,24.6,4.1461
15.0,46.98,4.0012,24.83,24.6,4.1413
15.04,46.98,4.0059,25.07,24.6,4.1461
15.09,46.96,3.9821,24.83,24.6,4.1508
15.13,46.94,4.0043,24.83,24.6,4.1461
15.17,46.98,3.9996,24.91,24.6,4.1445
15.22,46.98,4.0059,24.91,24.6,4.1524
15.26,46.98,4.0075,25.23,24.6,4.1492
15.3,46.94,3.9996,25.07,24.6,4.1476
15.34,46.96,4.0012,24.99,24.6,4.1476
15.38,46.94,4.0028,25.07,24.6,4.1476
15.43,46.98,3.998,25.23,24.7,4.1524
15.47,46.98,3.9836,25.23,24.6,4.1476
15.52,47.01,4.0091,24.75,24.6,4.1476
15.56,46.91,4.0012,25.07,24.7,4.1476
15.6,46.96,3.9996,25.15,24.7,4.1476
15.64,46.98,4.0028,25.31,24.6,4.1508
15.68,47.03,4.0059,25.15,24.7,4.1461
15.73,46.98,3.9996,24.91,24.7,4.1492
15.77,47.03,3.998,25.07,24.7,4.1429
15.81,47.01,4.0059,25.15,24.7,4.1476
15.86,46.96,3.9789,25.39,24.7,4.1508
15.9,46.98,4.0028,25.31,24.7,4.1476
15.94,47.01,4.0012,25.31,24.7,4.1476
15.98,47.03,3.9996,25.47,24.7,4.1492
16.03,46.98,4.0012,25.07,24.7,4.1461
16.07,47.01,4.0091,25.23,24.7,4.1461
16.11,47.03,4.0043,25.39,24.7,4.1476
16.15,47.03,4.0028,25.23,24.7,4.1461
16.19,47.01,4.0075,25.39,24.7,4.1445
16.24,47.08,3.9789,25.31,24.7,4.1476
16.28,47.01,4.0059,25.23,24.7,4.1476
16.33,46.98,4.0012,24.99,24.7,4.1461
16.37,46.96,4.0043,25.15,24.7,4.1429
16.41,46.96,4.0107,25.47,24.7,4.1461
16.45,46.94,4.0043,25.47,24.7,4.1492
16.49,46.96,4.0043,25.47,24.7,4.1461
16.54,46.94,4.0059,25.39,24.7,4.1461
16.58,46.98,3.9996,25.39,24.7,4.1476
16.63,46.96,3.9821,25.15,24.7,4.1445
16.67,47.01,3.998,25.23,24.7,4.1413
16.71,46.98,4.0059,25.47,24.7,4.1429
16.75,46.94,3.9932,25.39,24.7,4.1445
16.79,47.03,4.0059,25.07,24.7,4.1397
16.84,47.08,4.0043,25.47,24.7,4.1492
16.88,47.03,3.9996,25.55,24.7,4.1476
16.92,47.06,4.0043,25.39,24.7,4.1492
16.96,47.03,3.9996,25.15,24.7,4.1492
17.01,46.96,4.0028,25.47,24.7,4.1445
17.07,47.01,3.9805,25.23,24.7,4.1461
17.12,46.98,3.9836,25.23,24.8,4.1413
17.16,46.96,3.9805,25.23,24.8,4.1445
17.2,47.01,3.9836,25.39,24.8,4.1492
17.24,46.96,3.9773,25.31,24.8,4.1445
17.28,46.98,3.9868,25.39,24.8,4.1461
17.33,46.98,3.9821,25.55,24.8,4.1445
17.37,46.94,3.9805,25.63,24.8,4.1413
17.42,47.03,3.9805,25.31,24.8,4.1445
17.46,46.94,3.9773,25.23,24.8,4.1445
17.5,46.96,4.0028,25.63,24.8,4.1476
17.54,46.94,4.0059,25.39,24.8,4.1461
17.58,46.96,4.0075,25.55,24.8,4.1461
17.63,46.91,4.0028,25.31,24.8,4.1461
17.67,46.94,3.9996,25.31,24.8,4.1429
