Time [us], A0, A1
5228820,264,400
5231548,266,400
5234288,265,400
5237012,267,393
5239748,266,393
5242476,266,400
5245196,265,400
5247924,266,400
5250652,267,400
5253372,265,393
5256092,267,392
5258828,266,399
5261548,269,400
5264280,266,400
5267012,265,401
5269732,264,393
5272452,265,392
5275180,266,398
5277900,266,400
5280628,266,400
5283356,266,400
5286076,270,394
5288804,267,392
5291540,265,397
5294272,265,400
5296988,266,400
5299716,264,400
5302436,265,395
5305156,267,392
5307884,266,396
5310612,265,401
5313340,266,400
5316068,267,401
5318796,266,396
5321516,266,392
5324248,266,395
5326972,266,400
5329700,266,400
5332420,266,401
5335140,266,396
5337868,263,392
5340596,266,394
5343316,266,400
5346044,267,400
5348772,267,400
5351500,267,398
5354212,269,392
5356948,268,393
5359680,265,400
5362396,266,400
5365132,264,400
5367864,266,399
5370588,267,392
5373316,267,393
5376052,264,400
5378764,266,401
5381484,266,400
5384212,264,400
5386932,266,393
5389668,264,393
5392392,266,400
5395116,267,400
5397852,267,400
5400584,267,400
5403304,263,393
5406036,266,392
5408764,269,399
5411484,266,400
5414204,265,400
5416932,265,400
5419668,281,394
5422396,265,392
5425108,266,398
5427836,263,400
5430572,266,400
5433296,266,400
5436020,269,394
5438748,266,392
5441476,262,397
5444204,267,400
5446932,264,401
5449660,267,400
5452388,266,395
5455108,267,392
5457836,267,396
5460572,267,400
5463304,267,400
5466028,268,400
5468756,265,396
5471476,266,392
5474196,266,395
5476932,267,400
5479660,266,400
5482388,265,400
5485116,267,397
5487844,267,392
5490564,266,394
5493296,268,400
5496012,266,400
5498740,267,400
5501468,265,398
5504196,264,393
5506924,266,393
5509660,266,400
5512380,265,400
5515100,266,400
5517828,267,399
5520548,264,393
5523272,265,393
5525996,266,400
5528724,267,400
5531444,264,400
5534172,267,400
5536900,268,393
5539620,265,392
5542348,266,400
5545076,268,400
5547804,266,400
5550540,264,400
5553264,267,393
5555988,266,392
5558716,264,400
5561444,266,401
5564172,267,400
5566900,266,400
5569620,264,394
5572348,268,392
5575060,266,398
5577784,267,400
5580508,266,400
5583240,267,400
5585972,267,394
5588700,266,392
5591420,266,397
5594144,265,400
5596860,267,400
5599596,266,400
5602328,265,395
5605052,267,392
5607788,265,396
5610516,268,401
5613248,266,400
5615972,265,400
5618696,265,396
5621420,269,392
5624148,267,395
5626876,266,400
5629612,265,400
5632340,265,400
5635060,265,397
5637796,266,392
5640516,262,394
5643248,265,400
5645972,266,400
5648708,267,400
5651428,265,398
5654156,268,392
5656892,267,393
5659612,268,400
5662340,265,400
5665068,265,400
5667796,266,399
5670532,266,393
5673264,265,393
5675988,267,400
5678724,266,400
5681452,266,400
5684172,265,400
5686900,263,393
5689620,269,392
5692340,263,400
5695068,265,400
5697796,265,400
5700516,265,400
5703248,266,393
5705972,267,392
5708700,266,399
5711428,264,401
5714156,265,400
5716884,265,400
5719612,265,394
5722340,266,392
5725060,264,398
5727796,265,401
5730524,264,400
5733256,265,400
5735988,263,394
5738716,262,392
5741436,267,397
5744164,269,401
5746892,266,400
5749620,266,400
5752348,265,394
5755076,265,392
5757804,267,396
5760532,266,400
5763264,269,400
5765980,266,400
5768716,263,395
5771452,268,392
5774172,275,395
5776908,269,400
5779628,266,400
5782348,266,400
5785068,268,397
5787796,267,392
5790516,264,394
5793248,266,400
5795964,267,400
5798692,265,400
5801420,267,399
5804148,266,392
5806876,267,393
5809612,269,400
5812332,265,400
5815060,269,400
5817796,267,399
5820516,266,393
5823240,267,393
5825972,267,400
5828700,266,400
5831420,265,400
5834148,266,400
5836872,265,393
5839604,266,392
5842332,267,400
5845064,266,400
5847796,265,400
5850532,265,400
5853264,267,393
5855988,266,392
5858724,265,399
5861448,266,401
5864172,265,400
5866908,262,400
5869640,272,394
5872364,267,392
5875092,265,398
5877832,267,400
5880564,268,400
5883296,268,400
5886028,268,394
5888764,266,392
5891492,268,397
5894216,270,400
5896940,268,400
5899676,268,400
5902400,267,395
5905124,267,392
5907860,267,396
5910588,268,400
5913312,267,400
5916044,268,400
5918776,270,396
5921500,268,392
5924228,266,395
5926964,268,400
5929692,268,400
5932412,271,400
5935136,268,397
5937868,269,392
5940596,270,394
5943332,269,400
5946044,265,400
5948780,269,400
5951508,272,398
5954228,269,392
5956956,270,393
5959688,270,400
5962404,269,400
5965132,270,400
5967860,272,399
5970596,279,393
5973332,271,393
5976052,272,400
5978788,271,400
5981516,271,400
5984248,272,400
5986980,273,393
5989716,272,393
5992436,272,400
5995164,273,401
5997900,273,400
6000620,273,400
6003348,270,393
6006076,274,392
6008804,273,399
6011540,273,400
6014272,274,400
6016996,273,400
6019732,278,394
6022460,279,392
6025180,275,398
6027908,274,400
6030644,274,400
6033364,275,400
6036084,275,394
6038812,276,392
6041540,274,397
6044280,275,400
6047004,276,401
6049732,277,400
6052460,275,395
6055188,273,392
6057916,272,396
6060652,276,401
6063380,274,400
6066100,276,400
6068836,276,396
6071556,278,392
6074272,277,395
6077004,278,400
6079724,276,400
6082452,277,400
6085180,278,397
6087908,277,392
6090628,280,394
6093356,278,400
6096076,281,400
6098796,278,400
6101532,280,397
6104264,279,392
6106988,269,394
6109724,278,400
6112444,280,400
6115172,280,400
6117908,280,399
6120636,283,393
6123364,296,393
6126092,281,400
6128828,282,400
6131556,282,400
6134288,284,400
6137020,273,393
6139748,283,392
6142476,285,400
6145196,285,400
6147924,286,400
6150652,286,400
6153372,285,393
6156100,288,392
6158836,288,399
6161564,285,400
6164296,287,400
6167028,288,400
6169756,286,394
6172484,288,392
6175212,289,399
6177940,289,400
6180668,288,400
6183396,289,400
6186124,288,395
6188852,291,392
6191580,287,397
6194304,290,400
6197028,291,400
6199764,292,400
6202476,291,394
6205196,293,392
6207932,293,396
6210660,296,400
6213380,294,400
6216108,294,400
6218836,294,395
6221564,298,392
6224296,297,395
6227020,297,400
6229740,297,400
6232476,299,400
6235200,298,397
6237932,302,392
6240668,299,394
6243392,298,400
6246116,299,400
6248852,303,400
6251584,297,398
6254316,303,392
6257044,304,393
6259776,304,400
6262500,302,400
6265228,304,401
6267960,305,399
6270684,305,392
6273428,306,393
6276152,309,400
6278884,307,400
6281612,308,400
6284336,308,400
6287060,308,393
6289796,308,393
6292520,310,400
6295248,307,400
6297972,312,400
6300704,311,400
6303428,311,394
6306164,313,392
6308888,314,400
6311612,313,401
6314340,313,401
6317064,314,400
6319796,316,393
6322532,318,392
6325268,315,399
6328004,314,400
6330732,318,400
6333456,319,400
6336176,320,394
6338912,325,392
6341640,321,398
6344360,320,400
6347088,320,400
6349816,321,400
6352544,321,394
6355280,324,392
6358000,324,396
6360728,325,400
6363460,322,400
6366172,324,400
6368904,323,395
6371644,327,392
6374360,326,395
6377088,327,400
6379816,329,400
6382544,328,400
6385280,327,396
6388012,334,392
6390720,330,394
6393452,332,400
6396168,331,400
6398896,331,400
6401632,333,397
6404352,323,392
6407072,335,394
6409800,334,400
6412524,334,400
6415244,336,401
6417972,337,399
6420700,342,393
6423424,350,393
6426152,339,400
6428884,337,400
6431608,337,400
6434336,340,400
6437052,339,393
6439780,342,392
6442508,342,400
6445228,342,400
6447944,344,400
6450680,340,400
6453404,345,393
6456124,344,392
6458860,344,399
6461580,347,400
6464304,349,400
6467024,348,400
6469744,350,394
6472468,348,392
6475196,351,398
6477920,352,400
6480640,351,400
6483368,353,400
6486092,353,394
6488816,353,392
6491544,354,397
6494276,356,401
6496992,358,400
6499728,357,400
6502456,363,395
6505176,370,392
6507904,360,396
6510640,361,400
6513360,363,400
6516092,364,400
6518824,361,395
6521544,367,392
6524276,367,395
6527008,368,400
6529732,368,400
6532456,368,401
6535184,371,397
6537912,370,392
6540640,370,394
6543368,369,400
6546092,372,401
6548816,375,401
6551540,374,398
6554272,375,393
6556996,378,394
6559712,377,400
6562440,381,400
6565160,380,400
6567888,383,399
6570616,380,393
6573340,382,393
6576056,382,400
6578784,385,400
6581496,386,400
6584208,387,400
6586928,381,393
6589656,389,392
6592376,392,400
6595104,392,401
6597832,392,400
6600552,393,400
6603280,395,393
6606008,395,392
6608728,397,399
6611452,398,400
6614176,399,400
6616904,399,400
6619632,402,394
6622344,401,392
6625068,399,398
6627792,405,400
6630512,402,400
6633224,406,401
6635944,404,395
6638664,407,392
6641388,409,396
6644108,413,400
6646840,412,400
6649560,411,400
6652292,414,395
6655024,414,392
6657744,416,395
6660472,417,400
6663200,416,400
6665912,417,400
6668640,420,396
6671368,419,392
6674080,424,395
6676820,422,400
6679544,425,400
6682280,425,400
6685008,427,397
6687740,438,392
6690456,426,394
6693188,429,400
6695904,430,400
6698640,431,401
6701364,432,398
6704080,435,392
6706820,435,393
6709544,436,400
6712268,436,400
6714992,436,400
6717720,440,399
6720440,441,393
6723168,444,392
6725892,443,400
6728600,445,400
6731328,446,400
6734052,444,400
6736776,448,393
6739504,450,392
6742228,450,400
6744952,453,400
6747692,450,401
6750400,453,400
6753120,456,394
6755856,456,392
6758588,457,399
6761312,455,400
6764040,460,400
6766760,458,400
6769472,476,394
6772192,461,392
6774924,462,398
6777640,463,400
6780368,466,400
6783080,467,400
6785808,465,395
6788540,469,392
6791256,468,396
6793980,470,400
6796712,473,400
6799440,476,401
6802160,475,396
6804892,474,392
6807624,477,395
6810344,476,400
6813072,479,401
6815800,478,400
6818520,483,397
6821240,480,392
6823976,482,394
6826696,482,400
6829432,483,401
6832160,485,400
6834872,490,398
6837608,486,392
6840336,489,394
6843056,487,400
6845784,492,400
6848496,491,400
6851228,494,399
6853952,492,393
6856684,489,393
6859408,495,400
6862136,496,401
6864864,500,401
6867592,498,400
6870320,497,393
6873044,499,392
6875768,504,400
6878480,501,401
6881200,501,401
6883928,505,400
6886656,503,393
6889376,506,392
6892104,505,400
6894836,504,400
6897552,507,400
6900280,509,400
6902992,507,394
6905720,510,392
6908448,511,398
6911176,511,400
6913904,512,400
6916640,512,400
6919352,516,394
6922072,512,392
6924800,515,397
6927512,517,401
6930244,519,401
6932972,519,401
6935696,522,395
6938420,521,392
6941148,518,396
6943876,520,400
6946604,524,400
6949332,524,400
6952052,524,396
6954780,525,392
6957516,527,395
6960244,528,400
6962972,527,401
6965708,528,400
6968436,527,397
6971156,521,392
6973892,529,394
6976620,531,400
6979340,532,401
6982068,532,401
6984788,534,398
6987516,533,392
6990256,535,393
6992980,535,400
6995700,535,401
6998436,539,401
7001164,536,399
7003884,538,393
7006620,539,393
7009344,539,400
7012068,538,400
7014804,540,400
7017528,540,400
7020244,540,393
7022972,542,392
7025704,544,400
7028436,544,401
7031156,546,400
7033888,547,401
7036612,546,393
7039340,545,392
7042072,547,399
7044804,551,400
7047532,550,400
7050272,551,400
7052988,551,394
7055724,552,392
7058440,549,399
7061164,553,400
7063900,553,400
7066632,554,400
7069356,557,395
7072092,556,392
7074824,557,397
7077556,557,400
7080288,555,400
7083016,559,400
7085740,558,395
7088476,559,392
7091196,562,396
7093924,561,400
7096660,562,400
7099388,561,400
7102116,564,396
7104844,562,392
7107572,563,395
7110304,564,401
7113036,563,401
7115764,563,400
7118492,566,397
7121220,568,392
7123940,569,394
7126676,568,400
7129404,566,400
7132124,568,401
7134860,569,398
7137596,569,392
7140320,572,393
7143044,571,400
7145780,572,401
7148500,575,400
7151228,573,399
7153948,574,392
7156676,572,393
7159404,574,400
7162132,574,400
7164860,577,400
7167596,581,400
7170324,579,393
7173052,580,393
7175780,575,400
7178508,579,400
7181224,582,400
7183964,581,401
7186700,581,393
7189428,581,392
7192156,582,399
7194884,580,400
7197612,583,400
7200340,588,400
7203052,583,393
7205772,585,392
7208500,583,398
7211220,589,400
7213940,589,401
7216676,587,400
7219392,589,395
7222108,589,392
7224828,589,397
7227556,589,400
7230288,589,401
7233012,590,400
7235740,591,395
7238460,592,392
7241188,592,396
7243916,592,401
7246636,591,400
7249364,593,400
7252084,590,396
7254812,595,392
7257556,597,395
7260280,599,400
7263004,598,400
7265732,597,400
7268460,598,397
7271180,596,392
7273924,600,394
7276644,601,400
7279372,600,401
7282100,602,401
7284828,602,398
7287556,603,393
7290288,602,394
7293004,602,400
7295732,603,401
7298468,607,401
7301192,604,399
7303916,609,393
7306652,608,393
7309384,607,400
7312108,609,401
7314836,607,401
7317576,610,400
7320312,613,393
7323044,611,393
7325772,612,400
7328492,609,400
7331228,611,400
7333952,612,400
7336684,614,393
7339404,612,392
7342136,615,399
7344868,613,400
7347604,615,400
7350324,613,400
7353044,616,393
7355780,613,392
7358504,615,398
7361228,616,400
7363964,618,400
7366696,619,400
7369420,620,394
7372148,621,392
7374880,621,397
7377612,619,401
7380340,621,401
7383072,623,401
7385796,622,395
7388524,625,392
7391264,624,396
7393980,624,400
7396716,625,401
7399448,624,401
7402172,627,396
7404900,620,392
7407632,627,395
7410356,625,400
7413084,627,401
7415816,629,400
7418540,628,397
7421272,626,392
7424008,630,395
7426732,630,400
7429460,628,401
7432180,631,400
7434916,632,398
7437652,631,392
7440372,631,394
7443092,633,401
7445820,632,401
7448540,632,400
7451272,635,399
7453996,637,393
7456724,635,393
7459452,636,400
7462172,638,401
7464900,637,400
7467636,639,400
7470356,637,393
7473080,643,393
7475824,641,400
7478544,640,400
7481280,637,401
7484000,641,400
7486732,639,393
7489456,643,392
7492192,644,400
7494920,645,401
7497640,645,400
7500360,647,400
7503080,645,394
7505808,647,392
7508552,647,399
7511284,646,400
7514012,648,401
7516736,648,400
7519464,655,394
7522184,649,392
7524912,649,397
7527640,650,400
7530360,652,400
7533088,648,401
7535808,652,395
7538528,654,392
7541264,653,396
7543992,654,401
7546720,652,401
7549444,654,401
7552168,652,396
7554888,657,393
7557624,659,395
7560344,657,401
7563064,658,400
7565792,656,401
7568512,657,397
7571236,659,392
7573968,660,394
7576688,663,400
7579408,662,400
7582128,661,401
7584860,664,398
7587588,661,393
7590320,663,394
7593048,664,401
7595780,664,401
7598504,666,401
7601224,665,399
7603952,662,393
7606688,666,393
7609416,664,400
7612140,669,401
7614864,670,400
7617592,667,400
7620320,669,393
7623040,671,393
7625776,670,400
7628496,674,401
7631216,671,401
7633952,672,401
7636676,671,393
7639400,672,392
7642128,672,400
7644860,673,401
7647592,675,401
7650324,676,401
7653040,674,394
7655768,676,392
7658488,677,399
7661216,681,401
7663952,679,400
7666680,680,400
7669408,680,394
7672136,681,393
7674864,682,398
7677600,683,401
7680332,681,400
7683032,684,400
7685760,687,395
7688488,696,392
7691208,684,396
7693944,684,400
7696664,688,401
7699384,687,400
7702104,687,396
7704832,687,392
7707560,690,395
7710296,688,401
7713016,683,401
7715744,688,400
7718472,689,397
7721192,691,392
7723920,690,394
7726648,693,401
7729376,691,400
7732104,694,401
7734836,694,398
7737564,694,393
7740280,694,394
7743000,696,400
7745728,695,401
7748448,696,401
7751176,694,400
7753916,694,393
7756644,698,393
