Time [s], A0
5.59686,267
5.599596,266
5.602328,265
5.605052,267
5.607788,265
5.610516,268
5.613248,266
5.615972,265
5.618696,265
5.62142,269
5.624148,267
5.626876,266
5.629612,265
5.63234,265
5.63506,265
5.637796,266
5.640516,262
5.643248,265
5.645972,266
5.648708,267
5.651428,265
5.654156,268
5.656892,267
5.659612,268
5.66234,265
5.665068,265
5.667796,266
5.670532,266
5.673264,265
5.675988,267
5.678724,266
5.681452,266
5.684172,265
5.6869,263
5.68962,269
5.69234,263
5.695068,265
5.697796,265
5.700516,265
5.703248,266
5.705972,267
5.7087,266
5.711428,264
5.714156,265
5.716884,265
5.719612,265
5.72234,266
5.72506,264
5.727796,265
5.730524,264
5.733256,265
5.735988,263
5.738716,262
5.741436,267
5.744164,269
5.746892,266
5.74962,266
5.752348,265
5.755076,265
5.757804,267
5.760532,266
5.763264,269
5.76598,266
5.768716,263
5.771452,268
5.774172,275
5.776908,269
5.779628,266
5.782348,266
5.785068,268
5.787796,267
5.790516,264
5.793248,266
5.795964,267
5.798692,265
5.80142,267
5.804148,266
5.806876,267
5.809612,269
5.812332,265
5.81506,269
5.817796,267
5.820516,266
5.82324,267
5.825972,267
5.8287,266
5.83142,265
5.834148,266
5.836872,265
5.839604,266
5.842332,267
5.845064,266
5.847796,265
5.850532,265
5.853264,267
5.855988,266
5.858724,265
5.861448,266
5.864172,265
5.866908,262
5.86964,272
5.872364,267
5.875092,265
5.877832,267
5.880564,268
5.883296,268
5.886028,268
5.888764,266
5.891492,268
5.894216,270
5.89694,268
5.899676,268
5.9024,267
5.905124,267
5.90786,267
5.910588,268
5.913312,267
5.916044,268
5.918776,270
5.9215,268
5.924228,266
5.926964,268
5.929692,268
5.932412,271
5.935136,268
5.937868,269
5.940596,270
5.943332,269
5.946044,265
5.94878,269
5.951508,272
5.954228,269
5.956956,270
5.959688,270
5.962404,269
5.965132,270
5.96786,272
5.970596,279
5.973332,271
5.976052,272
5.978788,271
5.981516,271
5.984248,272
5.98698,273
5.989716,272
5.992436,272
5.995164,273
5.9979,273
6.00062,273
6.003348,270
6.006076,274
6.008804,273
6.01154,273
6.014272,274
6.016996,273
6.019732,278
6.02246,279
6.02518,275
6.027908,274
6.030644,274
6.033364,275
6.036084,275
6.038812,276
6.04154,274
6.04428,275
6.047004,276
6.049732,277
6.05246,275
6.055188,273
6.057916,272
6.060652,276
6.06338,274
6.0661,276
6.068836,276
6.071556,278
6.074272,277
6.077004,278
6.079724,276
6.082452,277
6.08518,278
6.087908,277
6.090628,280
6.093356,278
6.096076,281
6.098796,278
6.101532,280
6.104264,279
6.106988,269
6.109724,278
6.112444,280
6.115172,280
6.117908,280
6.120636,283
6.123364,296
6.126092,281
6.128828,282
6.131556,282
6.134288,284
6.13702,273
6.139748,283
6.142476,285
6.145196,285
6.147924,286
6.150652,286
6.153372,285
6.1561,288
6.158836,288
6.161564,285
6.164296,287
6.167028,288
6.169756,286
6.172484,288
6.175212,289
6.17794,289
6.180668,288
6.183396,289
6.186124,288
6.188852,291
6.19158,287
6.194304,290
6.197028,291
6.199764,292
6.202476,291
6.205196,293
6.207932,293
6.21066,296
6.21338,294
6.216108,294
6.218836,294
6.221564,298
6.224296,297
6.22702,297
6.22974,297
6.232476,299
6.2352,298
6.237932,302
6.240668,299
6.243392,298
6.246116,299
6.248852,303
6.251584,297
6.254316,303
6.257044,304
6.259776,304
6.2625,302
6.265228,304
6.26796,305
6.270684,305
6.273428,306
6.276152,309
6.278884,307
6.281612,308
6.284336,308
6.28706,308
6.289796,308
6.29252,310
6.295248,307
6.297972,312
6.300704,311
6.303428,311
6.306164,313
6.308888,314
6.311612,313
6.31434,313
6.317064,314
6.319796,316
6.322532,318
6.325268,315
6.328004,314
6.330732,318
6.333456,319
6.336176,320
6.338912,325
6.34164,321
6.34436,320
6.347088,320
6.349816,321
6.352544,321
6.35528,324
6.358,324
6.360728,325
6.36346,322
6.366172,324
6.368904,323
6.371644,327
6.37436,326
6.377088,327
6.379816,329
6.382544,328
6.38528,327
6.388012,334
6.39072,330
6.393452,332
6.396168,331
6.398896,331
6.401632,333
6.404352,323
6.407072,335
6.4098,334
6.412524,334
6.415244,336
6.417972,337
6.4207,342
6.423424,350
6.426152,339
6.428884,337
6.431608,337
6.434336,340
6.437052,339
6.43978,342
6.442508,342
6.445228,342
6.447944,344
6.45068,340
6.453404,345
6.456124,344
6.45886,344
6.46158,347
6.464304,349
6.467024,348
6.469744,350
6.472468,348
6.475196,351
6.47792,352
6.48064,351
6.483368,353
6.486092,353
6.488816,353
6.491544,354
6.494276,356
6.496992,358
6.499728,357
6.502456,363
6.505176,370
6.507904,360
6.51064,361
6.51336,363
6.516092,364
6.518824,361
6.521544,367
6.524276,367
6.527008,368
6.529732,368
6.532456,368
6.535184,371
6.537912,370
6.54064,370
6.543368,369
6.546092,372
6.548816,375
6.55154,374
6.554272,375
6.556996,378
6.559712,377
6.56244,381
6.56516,380
6.567888,383
6.570616,380
6.57334,382
6.576056,382
6.578784,385
6.581496,386
6.584208,387
6.586928,381
6.589656,389
6.592376,392
6.595104,392
6.597832,392
6.600552,393
6.60328,395
6.606008,395
6.608728,397
6.611452,398
6.614176,399
6.616904,399
6.619632,402
6.622344,401
6.625068,399
6.627792,405
6.630512,402
6.633224,406
6.635944,404
6.638664,407
6.641388,409
6.644108,413
6.64684,412
6.64956,411
6.652292,414
6.655024,414
6.657744,416
6.660472,417
6.6632,416
6.665912,417
6.66864,420
6.671368,419
6.67408,424
6.67682,422
6.679544,425
6.68228,425
6.685008,427
6.68774,438
6.690456,426
6.693188,429
6.695904,430
6.69864,431
6.701364,432
6.70408,435
6.70682,435
6.709544,436
6.712268,436
6.714992,436
6.71772,440
6.72044,441
6.723168,444
6.725892,443
6.7286,445
6.731328,446
6.734052,444
6.736776,448
6.739504,450
6.742228,450
6.744952,453
6.747692,450
6.7504,453
6.75312,456
6.755856,456
6.758588,457
6.761312,455
6.76404,460
6.76676,458
6.769472,476
6.772192,461
6.774924,462
6.77764,463
6.780368,466
6.78308,467
6.785808,465
6.78854,469
6.791256,468
6.79398,470
6.796712,473
6.79944,476
6.80216,475
6.804892,474
6.807624,477
6.810344,476
6.813072,479
