seconds, T0, T1, T2, T3, T4, T5, BAT, 
5.704, 25.013, 26.526, 25.969, 26.207, 25.491, 25.173, 4.1779, 
5.712, 25.013, 26.685, 25.889, 25.730, 25.809, 24.695, 4.1811, 
5.721, 25.013, 26.764, 25.730, 25.889, 25.809, 25.173, 4.1779, 
5.729, 25.252, 26.446, 25.969, 26.048, 25.730, 24.695, 4.1731, 
5.737, 24.934, 26.605, 25.889, 26.048, 25.650, 24.934, 4.1763, 
5.746, 25.093, 26.526, 25.809, 25.969, 25.730, 25.013, 4.1731, 
5.754, 24.854, 26.446, 25.969, 25.889, 25.889, 24.854, 4.1747, 
5.768, 25.173, 26.446, 25.730, 26.048, 25.730, 24.854, 4.1795, 
5.776, 24.775, 26.526, 25.809, 25.650, 26.048, 24.934, 4.1763, 
5.784, 25.252, 26.287, 25.969, 26.048, 25.889, 24.854, 4.1747, 
5.793, 25.173, 27.162, 25.809, 25.730, 25.889, 25.252, 4.1763, 
5.801, 25.252, 26.366, 26.128, 25.809, 25.650, 25.093, 4.1827, 
5.809, 25.332, 26.366, 26.128, 26.128, 25.969, 25.093, 4.1779, 
5.818, 25.013, 26.685, 25.889, 25.889, 25.571, 25.013, 4.1779, 
5.826, 25.093, 26.446, 26.048, 26.048, 25.730, 25.252, 4.1715, 
5.840, 25.730, 26.685, 26.048, 25.969, 25.730, 24.854, 4.1779, 
5.848, 25.252, 26.526, 25.809, 25.969, 25.730, 25.093, 4.1763, 
5.857, 25.013, 27.003, 25.969, 25.889, 25.730, 25.013, 4.1763, 
5.865, 25.173, 26.605, 26.048, 25.889, 25.730, 25.332, 4.1731, 
5.873, 25.252, 26.207, 26.048, 26.048, 25.889, 24.934, 4.1763, 
5.881, 25.252, 26.446, 25.730, 25.889, 25.809, 25.013, 4.1731, 
5.890, 25.650, 26.526, 25.889, 25.969, 25.650, 25.252, 4.1747, 
5.898, 25.252, 26.685, 26.048, 25.889, 25.809, 25.013, 4.1795, 
5.912, 25.173, 26.287, 25.889, 25.969, 25.730, 25.093, 4.1763, 
5.920, 25.173, 26.605, 26.287, 26.207, 25.730, 25.252, 4.1763, 
5.929, 25.411, 26.605, 26.128, 25.969, 25.650, 25.173, 4.1731, 
5.937, 25.173, 26.287, 25.889, 25.809, 25.650, 24.934, 4.1827, 
5.945, 25.093, 26.366, 25.969, 26.048, 25.809, 25.411, 4.1763, 
5.954, 25.013, 26.526, 25.730, 26.048, 25.650, 25.332, 4.1763, 
5.962, 25.093, 26.446, 25.730, 26.048, 25.969, 24.854, 4.1811, 
5.970, 25.013, 26.287, 25.969, 25.809, 25.650, 25.093, 4.1763, 
5.984, 24.854, 26.685, 26.048, 26.128, 25.889, 25.093, 4.1731, 
5.993, 25.173, 26.526, 25.969, 26.048, 25.889, 25.093, 4.1731, 
6.001, 25.093, 26.526, 25.889, 25.969, 25.571, 25.173, 4.1795, 
6.009, 25.093, 26.526, 25.809, 25.889, 25.491, 24.934, 4.1763, 
6.018, 25.093, 26.605, 25.889, 26.048, 25.650, 25.093, 4.1763, 
6.026, 25.332, 26.605, 25.730, 25.809, 25.889, 25.013, 4.1763, 
6.034, 25.173, 26.366, 25.969, 26.048, 25.650, 25.013, 4.1731, 
6.048, 24.775, 26.605, 26.207, 25.889, 25.809, 25.491, 4.1747, 
6.057, 25.093, 26.446, 25.889, 26.207, 25.491, 25.013, 4.1779, 
6.065, 25.252, 26.685, 26.048, 26.048, 25.809, 25.093, 4.1795, 
6.073, 25.093, 26.366, 25.809, 25.969, 25.809, 25.093, 4.1779, 
6.082, 25.173, 26.366, 25.969, 25.889, 25.491, 25.252, 4.1779, 
6.090, 24.934, 26.366, 25.809, 25.969, 25.809, 25.093, 4.1779, 
6.098, 25.173, 26.526, 25.889, 25.809, 25.571, 25.013, 4.1747, 
6.107, 25.093, 26.526, 25.889, 25.969, 25.809, 25.173, 4.1795, 
6.121, 25.013, 26.446, 25.969, 26.128, 25.650, 25.093, 4.1795, 
6.129, 25.411, 26.366, 26.207, 26.048, 25.969, 25.093, 4.1811, 
6.137, 25.332, 26.446, 25.809, 25.889, 25.571, 25.013, 4.1699, 
6.146, 25.093, 26.685, 25.969, 26.048, 25.969, 24.854, 4.1779, 
6.154, 25.252, 26.526, 25.809, 25.969, 25.809, 25.013, 4.1731, 
6.162, 25.093, 26.605, 26.048, 25.809, 25.730, 24.934, 4.1763, 
6.171, 24.934, 26.446, 26.048, 25.889, 25.809, 25.093, 4.1763, 
6.179, 25.173, 26.526, 26.128, 26.128, 25.730, 25.173, 4.1795, 
6.193, 25.173, 26.685, 25.889, 25.889, 25.650, 24.934, 4.1874, 
6.201, 25.252, 26.366, 25.889, 25.969, 25.809, 24.934, 4.1763, 
