Time [ms],Time [ms],Test 1,Test 2,Test 3,Test 4,Test 5
257.208,257.208,2.46,3.75,2.58,2.69,0.23
258.656,258.656,2.46,3.75,2.58,2.81,0.23
260.104,260.104,2.46,3.63,2.81,2.93,0.23
261.544,261.544,2.46,3.51,2.93,2.81,0.23
263,263,2.46,3.4,3.04,2.81,0.23
264.432,264.432,2.46,3.4,3.16,2.58,0.23
265.88,265.88,2.46,3.28,3.16,2.46,0.23
267.336,267.336,2.58,3.16,3.28,2.22,0.23
268.768,268.768,2.58,3.04,3.28,2.22,0.23
270.224,270.224,2.69,2.93,3.4,1.87,0.23
271.656,271.656,2.69,2.81,3.51,1.64,0.23
273.112,273.112,2.69,2.69,3.63,1.29,0.23
274.552,274.552,2.81,2.58,3.63,0.94,0.23
275.992,275.992,2.93,2.46,3.63,0.59,0.35
277.448,277.448,2.93,2.34,3.75,0.23,0.23
278.88,278.88,3.04,2.22,3.86,0,0.23
280.328,280.328,3.16,2.11,3.86,-0.23,0.23
281.78,281.78,3.16,1.99,3.86,-0.23,0.23
283.22,283.22,3.28,1.99,3.86,-0.12,0.23
284.672,284.672,3.4,1.87,3.86,0,0.23
286.108,286.108,3.51,1.76,3.86,-0.12,0.23
287.56,287.56,3.51,1.76,3.86,-0.12,0.23
289.004,289.004,3.63,1.64,3.86,-0.12,0.23
290.448,290.448,3.63,1.64,3.75,-0.12,0.23
291.896,291.896,3.75,1.52,3.63,0,0.23
293.34,293.34,3.75,1.52,3.63,0.12,0.23
294.784,294.784,3.75,1.52,3.51,0,0.23
296.228,296.228,3.86,1.52,3.4,0,0.23
297.68,297.68,3.98,1.52,3.4,0,0.23
299.116,299.116,3.98,1.52,3.28,0,0.23
300.56,300.56,4.1,1.52,3.16,0,0.23
302.012,302.012,4.1,1.52,3.16,0,0.23
303.448,303.448,4.22,1.52,3.04,-0.12,0.23
304.908,304.908,4.22,1.64,2.93,0,0.23
306.34,306.34,4.22,1.64,2.81,0,0.23
307.788,307.788,4.22,1.76,2.69,0,0.23
309.244,309.244,4.33,1.87,2.58,0,0.23
310.676,310.676,4.33,1.87,2.46,-0.12,0.23
312.128,312.128,4.33,1.99,2.34,0,0.23
313.572,313.572,4.33,2.11,2.34,0.23,0.23
315.012,315.012,4.33,2.11,2.22,0.7,0.23
316.464,316.464,4.33,2.22,2.11,0.82,0.23
317.9,317.9,4.33,2.34,2.11,0.82,0.23
319.352,319.352,4.33,2.46,1.99,0.82,0.12
320.796,320.796,4.22,2.58,1.99,0.82,0.23
322.244,322.244,4.22,2.69,1.99,1.05,0.23
323.692,323.692,4.22,2.69,1.99,1.17,0.23
325.132,325.132,4.22,2.81,1.99,1.29,0.23
326.58,326.58,4.1,2.93,1.99,1.41,0.23
328.024,328.024,4.1,3.04,1.99,1.52,0.23
329.46,329.46,3.98,3.16,1.99,1.52,0.23
330.904,330.904,3.98,3.28,1.99,1.64,0.23
332.352,332.352,3.86,3.28,2.11,1.87,0.23
333.8,333.8,3.86,3.4,2.11,2.22,0.23
335.24,335.24,3.75,3.4,2.11,2.34,0.23
336.688,336.688,3.63,3.51,2.22,2.34,0.23
338.128,338.128,3.63,3.63,2.34,2.34,0.23
339.576,339.576,3.51,3.63,2.34,2.22,0.23
341.024,341.024,3.4,3.75,2.46,1.87,0.23
342.46,342.46,3.4,3.75,2.46,1.87,0.23
343.916,343.916,3.28,3.75,2.58,1.64,0.23
345.352,345.352,3.16,3.86,2.69,1.41,0.23
346.808,346.808,3.28,3.75,2.81,1.17,0.23
348.256,348.256,3.04,3.75,2.81,0.94,0.23
349.684,349.684,3.04,3.75,2.93,0.59,0.23
351.136,351.136,2.93,3.75,3.04,0.47,0.23
352.576,352.576,2.81,3.75,3.04,0.35,0.23
354.032,354.032,2.81,3.75,3.16,0.23,0.23
355.472,355.472,2.69,3.63,3.16,0.12,0.23
356.912,356.912,2.69,3.63,3.28,0,0.23
358.368,358.368,2.58,3.51,3.4,-0.12,0.12
359.8,359.8,2.58,3.51,3.4,-0.12,0.23
361.256,361.256,2.58,3.4,3.51,-0.12,0.23
362.696,362.696,2.46,3.4,3.51,0,0.23
364.136,364.136,2.58,3.28,3.51,0,0.23
365.592,365.592,2.58,3.16,3.63,0,0.23
367.032,367.032,2.46,3.04,3.63,-0.12,0.23
368.48,368.48,2.58,3.04,3.63,0,0.23
369.92,369.92,2.58,2.93,3.75,0,0.23
371.376,371.376,2.69,2.81,3.63,0,0.23
372.816,372.816,2.58,2.69,3.75,0,0.23
374.256,374.256,2.69,2.58,3.63,0.12,0.23
375.704,375.704,2.69,2.58,3.63,0.35,0.23
377.144,377.144,2.69,2.46,3.63,0.59,0.23
378.6,378.6,2.81,2.34,3.51,0.59,0.23
380.032,380.032,2.81,2.22,3.51,0.7,0.23
381.48,381.48,2.93,2.11,3.51,0.59,0.23
382.936,382.936,2.93,2.11,3.4,0.7,0.23
384.368,384.368,2.93,1.99,3.4,0.7,0.23
385.824,385.824,3.04,1.99,3.28,0.7,0.23
387.252,387.252,3.16,1.87,3.16,0.82,0.23
388.708,388.708,3.16,1.87,3.16,1.05,0.23
390.16,390.16,3.28,1.87,3.04,1.17,0.23
391.592,391.592,3.28,1.76,2.93,1.29,0.23
393.048,393.048,3.4,1.76,2.93,1.52,0.23
394.484,394.484,3.4,1.76,2.81,1.52,0.23
395.924,395.924,3.51,1.76,2.69,1.52,0.23
397.384,397.384,3.51,1.76,2.58,1.52,0.23
398.82,398.82,3.63,1.76,2.58,1.41,0.23
400.272,400.272,3.63,1.76,2.46,1.29,0.23
401.712,401.712,3.75,1.76,2.46,1.29,0.23
403.16,403.16,3.75,1.76,2.34,1.29,0.12
404.604,404.604,3.86,1.87,2.34,1.29,0.23
406.048,406.048,3.86,1.87,2.22,1.29,0.23
407.496,407.496,3.98,1.99,2.22,1.17,0.35
408.936,408.936,3.98,1.99,2.22,1.17,0.23
410.38,410.38,3.98,2.11,2.11,0.94,
411.824,411.824,4.1,2.11,2.22,0.82,
413.272,413.272,4.1,2.22,2.11,0.7,
414.716,414.716,4.1,2.34,2.11,0.7,
416.16,416.16,4.22,2.34,2.11,0.59,
417.62,417.62,4.22,2.46,2.11,0.47,
419.052,419.052,4.22,2.58,2.11,0.35,
420.5,420.5,4.22,2.69,2.11,0.23,
421.948,421.948,4.22,2.69,2.22,0.23,
423.388,423.388,4.22,2.81,2.22,0.12,
424.844,424.844,4.22,2.93,2.22,0.12,
426.276,426.276,4.22,2.93,2.34,0.23,
427.732,427.732,4.22,3.04,2.46,0.35,
429.172,429.172,4.1,3.16,2.46,0.23,
430.608,430.608,4.1,3.16,2.58,0.35,
432.06,432.06,4.1,3.28,2.58,0.47,
433.496,433.496,3.98,3.28,2.69,0.35,
434.948,434.948,3.98,3.4,2.69,0.59,
436.392,436.392,3.98,3.51,2.81,0.59,
437.832,437.832,3.98,3.51,2.93,0.7,
439.284,439.284,3.98,3.51,3.04,0.7,
440.728,440.728,3.86,3.51,3.04,0.82,
442.176,442.176,3.86,3.63,3.16,0.82,
443.616,443.616,3.75,3.63,3.16,0.94,
445.06,445.06,3.75,3.63,3.28,0.94,
446.512,446.512,3.63,3.63,3.28,0.94,
447.952,447.952,3.51,3.63,3.4,0.94,
449.4,449.4,3.51,3.63,3.4,0.94,
450.844,450.844,3.4,3.63,3.51,1.05,
452.292,452.292,3.4,3.63,3.51,1.17,
453.732,453.732,3.28,3.63,3.51,1.17,
455.176,455.176,3.28,3.51,3.63,1.05,
456.624,456.624,3.16,3.51,3.63,1.05,
458.076,458.076,3.16,3.4,3.63,0.82,
459.52,459.52,3.04,3.4,3.63,0.94,
460.948,460.948,3.04,3.28,3.63,0.82,
462.396,462.396,3.04,3.28,3.63,0.82,
463.848,463.848,2.93,3.16,3.51,0.82,
465.288,465.288,2.93,3.04,3.51,0.82,
466.744,466.744,2.81,3.04,3.51,0.82,
468.176,468.176,2.81,2.93,3.4,0.82,
469.624,469.624,2.81,2.81,3.4,0.82,
471.08,471.08,2.81,2.81,3.4,0.7,
472.512,472.512,2.81,2.69,3.28,0.82,
473.968,473.968,2.69,2.58,3.28,0.7,
475.408,475.408,2.69,2.46,3.16,0.7,
476.856,476.856,2.69,2.46,3.04,0.59,
478.304,478.304,2.69,2.34,3.04,0.59,
479.736,479.736,2.69,2.34,2.93,0.59,
481.192,481.192,2.69,2.22,2.93,0.47,
482.632,482.632,2.69,2.11,2.81,0.59,
484.08,484.08,2.81,2.11,2.69,0.47,
485.52,485.52,2.81,1.99,2.58,0.47,
486.96,486.96,2.81,1.99,2.58,0.59,
488.416,488.416,2.81,1.99,2.46,0.47,
489.856,489.856,2.93,1.99,2.46,0.47,
491.304,491.304,2.93,1.87,2.34,0.59,
492.744,492.744,2.93,1.76,2.34,0.59,
494.192,494.192,3.04,1.87,2.34,0.7,
495.632,495.632,3.04,1.87,2.22,0.7,
497.076,497.076,3.04,1.87,2.11,0.7,
498.528,498.528,3.16,1.87,2.22,0.7,
499.972,499.972,3.16,1.87,2.22,0.82,
501.424,501.424,3.16,1.87,2.22,0.82,
502.864,502.864,3.28,1.99,2.22,0.82,
