,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
160,12.38,46.94,4.0043,24.36,24.4,4.1445
161,12.42,46.89,4.0075,24.36,24.4,4.1476
162,12.46,46.91,4.0059,23.96,24.5,4.1476
163,12.51,46.94,4.0012,24.04,24.5,4.1492
164,12.55,46.91,3.9996,24.28,24.5,4.1508
165,12.59,46.98,4.0043,24.36,24.5,4.1476
166,12.63,46.98,4.0059,24.04,24.5,4.1461
167,12.67,46.96,4.0012,24.04,24.5,4.1445
168,12.72,46.94,3.9741,24.12,24.5,4.1445
169,12.76,46.94,3.9996,24.43,24.5,4.1492
170,12.81,46.98,4.0043,24.28,24.5,4.1492
171,12.85,47.01,4.0059,24.04,24.5,4.1492
172,12.89,46.98,4.0075,24.2,24.5,4.1492
173,12.93,47.06,4.0043,24.43,24.5,4.1461
174,12.97,46.96,4.0059,24.43,24.5,4.1492
175,13.04,47.01,3.9836,24.12,24.5,4.1461
176,13.08,46.96,3.9821,24.43,24.5,4.1461
177,13.13,46.98,3.9852,24.28,24.5,4.1461
178,13.17,46.98,4.0012,24.59,24.5,4.1492
179,13.21,47.01,3.9996,24.59,24.5,4.1492
180,13.25,46.94,4.0043,24.59,24.5,4.1461
181,13.3,46.94,3.998,24.59,24.5,4.1492
182,13.34,47.01,4.0091,24.51,24.5,4.1476
183,13.38,47.01,4.0059,24.75,24.5,4.1476
184,13.42,46.96,4.0028,24.43,24.5,4.1476
185,13.46,46.91,4.0028,24.36,24.5,4.1492
186,13.51,47.06,3.9821,24.59,24.5,4.1476
187,13.55,47.03,3.998,24.43,24.5,4.1492
188,13.6,46.98,4.0059,24.43,24.5,4.1492
189,13.64,47.01,4.0012,24.67,24.5,4.1445
190,13.68,46.98,4.0043,24.91,24.5,4.1461
191,13.72,47.06,3.9964,24.43,24.6,4.1508
192,13.76,47.01,4.0012,24.59,24.6,4.1492
193,13.81,46.98,3.998,24.83,24.6,4.1476
194,13.85,47.06,4.0043,24.67,24.6,4.1476
195,13.9,47.03,3.9789,24.28,24.6,4.1492
196,13.94,46.98,3.998,24.91,24.6,4.1461
197,13.98,47.01,4.0043,24.43,24.6,4.1445
198,14.02,46.98,3.9964,24.59,24.6,4.1508
199,14.06,47.01,4.0059,24.91,24.6,4.1461
200,14.11,47.01,4.0043,24.67,24.6,4.1429
201,14.15,47.03,4.0043,24.67,24.6,4.1445
202,14.19,46.98,4.0075,24.67,24.6,4.1461
203,14.23,47.03,4.0012,24.83,24.6,4.1492
204,14.28,47.01,4.0059,24.83,24.6,4.1461
205,14.32,47.03,3.9821,24.91,24.6,4.1476
206,14.36,47.01,4.0043,24.75,24.6,4.1476
207,14.41,47.03,4.0043,24.83,24.6,4.1461
208,14.45,46.98,4.0059,24.83,24.6,4.1476
209,14.49,46.98,4.0059,24.83,24.6,4.1476
210,14.53,47.01,4.0012,24.83,24.6,4.1445
211,14.57,47.08,4.0028,24.83,24.6,4.1461
212,14.62,46.94,4.0028,24.36,24.6,4.1461
213,14.66,47.01,3.998,24.91,24.6,4.1445
214,14.71,47.03,3.9836,24.83,24.6,4.1445
215,14.75,47.03,3.9996,25.07,24.6,4.1445
216,14.79,46.98,4.0043,24.83,24.6,4.1476
217,14.83,46.98,3.9996,24.83,24.6,4.1508
218,14.87,46.98,3.9964,24.75,24.6,4.1492
219,14.92,47.01,3.9996,24.91,24.6,4.1492
220,14.96,46.98,3.998,24.91,24.6,4.1461
221,15.0,46.98,4.0012,24.83,24.6,4.1413
222,15.04,46.98,4.0059,25.07,24.6,4.1461
223,15.09,46.96,3.9821,24.83,24.6,4.1508
224,15.13,46.94,4.0043,24.83,24.6,4.1461
225,15.17,46.98,3.9996,24.91,24.6,4.1445
226,15.22,46.98,4.0059,24.91,24.6,4.1524
227,15.26,46.98,4.0075,25.23,24.6,4.1492
228,15.3,46.94,3.9996,25.07,24.6,4.1476
229,15.34,46.96,4.0012,24.99,24.6,4.1476
230,15.38,46.94,4.0028,25.07,24.6,4.1476
231,15.43,46.98,3.998,25.23,24.7,4.1524
232,15.47,46.98,3.9836,25.23,24.6,4.1476
233,15.52,47.01,4.0091,24.75,24.6,4.1476
234,15.56,46.91,4.0012,25.07,24.7,4.1476
235,15.6,46.96,3.9996,25.15,24.7,4.1476
236,15.64,46.98,4.0028,25.31,24.6,4.1508
237,15.68,47.03,4.0059,25.15,24.7,4.1461
238,15.73,46.98,3.9996,24.91,24.7,4.1492
239,15.77,47.03,3.998,25.07,24.7,4.1429
240,15.81,47.01,4.0059,25.15,24.7,4.1476
241,15.86,46.96,3.9789,25.39,24.7,4.1508
242,15.9,46.98,4.0028,25.31,24.7,4.1476
243,15.94,47.01,4.0012,25.31,24.7,4.1476
244,15.98,47.03,3.9996,25.47,24.7,4.1492
245,16.03,46.98,4.0012,25.07,24.7,4.1461
246,16.07,47.01,4.0091,25.23,24.7,4.1461
247,16.11,47.03,4.0043,25.39,24.7,4.1476
248,16.15,47.03,4.0028,25.23,24.7,4.1461
249,16.19,47.01,4.0075,25.39,24.7,4.1445
250,16.24,47.08,3.9789,25.31,24.7,4.1476
251,16.28,47.01,4.0059,25.23,24.7,4.1476
252,16.33,46.98,4.0012,24.99,24.7,4.1461
253,16.37,46.96,4.0043,25.15,24.7,4.1429
254,16.41,46.96,4.0107,25.47,24.7,4.1461
255,16.45,46.94,4.0043,25.47,24.7,4.1492
